,mot_chinois,sent_chinois,sent_fr,mot_fr
191,东跑西窜,那些游客根本不知道是来看什么的；只是东跑西窜地照相。,Les touristes ignoraient totalement ce qu'ils étaient venus chercher ; ils se contentaient de courir à droite et à gauche pour prendre des photos.,courir à droite et à gauche 
192,一无所知,到现在，对她我其实是一无所知。,"Jusqu'à aujourd'hui, je ne connaissais rien d'elle.",je ne connaissais rien 
193,烟雾腾腾,徐冰冰很快点点头，她巴不得快些离开这个烟雾腾腾的地方。,"Xu Bingbing fit rapidement oui de la tête, trop heureuse d'avoir enfin l'opportunité de quitter cet espace enfumé.",enfumé
194,金枝玉叶,知道你们信息处的都是金枝玉叶，但今天你这个专家得出这趟外勤了。,"Je sais bien que les membres du département de sécurité de l'information préfèrent leur bureau douillet au terrain mais, aujourd'hui, je vais avoir besoin d'une pro comme toi avec nous.", préfèrent leur bureau douillet au terrain 
195,迷迷糊糊,迷迷糊糊感到脸上有凉凉的东西在动。,j'ai senti vaguement comme quelque chose de froid qui bougeait sur mon visage.,vaguement
196,无法想象,“我也只是感觉，觉得她背后可能有一些你我都无法想象的事情。”,"Ce n'est qu'une intuition, j'ai l'impression que derrière elle se cachent des choses que ni toi ni moi ne sommes en mesure d'imaginer.",ne sommes en mesure d'imaginer.
197,不假思索,他都能不假思索地立即回答。, l'histoire ou la culture sans même avoir besoin de réfléchir., sans même avoir besoin de réfléchir
198,一言不发,申玉菲一言不发，快步离去。,Shen Yufei est partie sans un mot et a accéléré le pas.,sans un mot
199,香烟袅袅,好像在看着她的祈求随着香烟袅袅升到佛祖那里。,comme si elle attendait que sa prière monte vers le Bouddha en même temps que la fumée de l'encens.,la fumée de l'encens
200,脱离苦海,“佛祖保佑我主脱离苦海。”,"Bouddha, bénis mes dieux, sauve-les de leur mer de souffrance éternelle.
",sauve-les de leur mer de souffrance éternelle
201,无耻之徒,“呸，无耻之徒！”,"— Ah, le lâche !",le lâche 
202,指日可待,掌握三个太阳运行的规律指日可待,ce n'est qu'une question de temps avant que nous puissions être capables de déterminer les mouvements des trois soleils,ce n'est qu'une question de temps
203,千里迢迢,你带我们千里迢迢来东方？, N'est-ce pas précisément la raison pour laquelle nous avons parcouru des milliers de kilomètres à l'est ?,parcouru des milliers de kilomètres
204,英勇牺牲,英勇牺牲,Il est mort en héros,Il est mort en héros
205,难以想象,难以想象,"Une si grande armée est difficile à imaginer, dit Wang Miao en secouant la tête.",difficile à imaginer
206,四下打量,”汪淼四下打量了一下问。,demanda Wang Miao en regardant les alentours.,en regardant les alentours
207,不可自拔,整个帝国陷入荒淫无度的泥潭中不可自拔。,L'empire tout entier est empêtré dans un bourbier de débauche duquel il ne peut se sortir.,il ne peut se sortir
208,不失时机,”冯·诺伊曼不失时机地说。,"dit von Neumann, sautant sur l'occasion.",sautant sur l'occasion
209,面无表情,好，继续。”秦始皇面无表情地说。,"Mais soit, poursuivez, dit Qin Shi Huang, sans laisser filtrer la moindre émotion.",sans laisser filtrer la moindre émotion
210,举世无双,"“陛下，您的军队真是举世无双！
","Au-delà de cette démonstration de puissance, cette armée révélait aussi toute la fragilité de la civilisation.",révélait aussi toute la fragilité de la civilisation.
211,粼粼波光,充满了细密的粼粼波光,pétiller de lumières vacillantes,pétiller de lumières vacillantes
212,胸有成竹,“系统重新热启动！”冯·诺伊受胸有成竹地命令道。, Redémarrage du système ! ordonna von Neumann avec assurance.,avec assurance.
213,波光粼粼,主板上波光粼粼，,"La carte mère se remit à onduler,", onduler
214,时光飞逝,时光飞逝,"Le temps passa à toute vitesse,",Le temps passa à toute vitesse
215,不计其数,累死和冻死热死的人不计其数,"Un grand nombre de mes sujets sont morts de faim, de fatigue et de froid pour cet ordinateur",Un grand nombre 
216,气喘吁吁,气喘吁吁地趴到了地上。,"il s'affala sur le sol et peina à reprendre sa respiration.
",reprendre sa respiration
217,莫名其妙,都莫名其妙。,désorientés.,désorientés
218,亘古罕有,现在出现了亘古罕有的‘三日连珠’。,Nous assistons en ce moment même à un phénomène rarissime : une syzygie trisolaire.,rarissime
219,欣喜若狂,但表情却欣喜若狂。," mais il avait l'air de ne pas avoir perdu son entrain.
",avait l'air de ne pas avoir perdu son entrain
220,晶莹剔透,在远方，汪淼看到了连绵的透明山脉在缓缓上升；那山脉晶莹剔透，,"Au loin, Wang Miao vit encore une longue chaîne de montagnes transparentes en train de s'élever dans les cieux ; elles étaient aussi claires que du cristal, et elles changeaient de forme, baignées d'une lumière chatoyante.",aussi claires que du cristal
221,血肉横飞,碎石和血肉横飞，惨不忍睹。,Ils assistèrent au monstrueux spectacle de gravats et de sang se répandant à l'horizontale.,monstrueux spectacle
222,惨不忍睹,碎石和血肉横飞，惨不忍睹。,Ils assistèrent au monstrueux spectacle de gravats et de sang se répandant à l'horizontale.,de gravats et de sang
223,血液沸腾,飘浮在空中的人体在真空中血液沸腾，," le sang des hommes se mit à bouillir et ils crachèrent leurs viscères.
", le sang des hommes se mit à bouillir
224,西装革履,西装革履，显得风度翩翩。,Il avait délaissé les vêtements sales de vagabond qu'il arborait dans les médias pour un élégant costume deux pièces et des chaussures en cuir., un élégant
225,风度翩翩,西装革履，显得风度翩翩。,Il avait délaissé les vêtements sales de vagabond qu'il arborait dans les médias pour un élégant costume deux pièces et des chaussures en cuir.,costume deux pièces et des chaussures en cuir
226,变幻莫测,为了应对变幻莫测的自然环境。,C'est grâce à cette technique qu'ils peuvent s'adapter à un environnement naturel imprévisible.,naturel imprévisible
227,志同道合,就是为了聚集起我们这样志同道合的人。”潘寒说。," réunir ceux qui, comme nous, nourrissent des idéaux communs, répondit Pan Han.",nourrissent des idéaux communs
228,意味深长,他用意味深长的目光逐个将在座的每个人打量一遍，轻轻地说：,"Ce dernier examina du regard tous les joueurs, puis il s'adressa à eux d'une voix douce :",examina du regard
229,颠倒黑白,“你这是颠倒黑白, Vous refaites l'histoire ! , refaites l'histoire
230,言多必失,言多必失,sachant qu'en dire plus pouvait lui en coûter.,sachant qu'en dire plus pouvait lui en coûter.
231,星罗棋布,远处的大地上，星罗棋布着许多显然是干仓的高大建筑。,"Au loin, d'autres tours parsemaient la plaine, probablement des silos de déshydratation.",parsemaient la plaine
232,银光四射,当它只剩两个银光四射的尖角在地平线之上时，,"Lorsque ne restèrent plus que deux pointes de rayons argentés au-dessus de la ligne d'horizon,",de rayons argentés 
233,不堪回首,往事不堪回首。,Le passé est trop douloureux.,est trop douloureux
234,不堪回首,都不堪回首啊。”,"tout est trop douloureux.
",tout est trop douloureux
235,不可逾越,对牛顿或其他的人来说是一道不可逾越的鸿沟。,ce fut un infranchissable gouffre pour Newton et sa clique.,infranchissable
236,不可思议,立刻看到了一件不可思议的东西：,Il se retrouva face à un tableau incroyable : , incroyable
237,不可预测,其运行规律从数学本质上讲是不可预测的,"Son modèle de mouvements ne peut par définition pas être prédit,",pas être prédit
238,模糊不清,汪淼感觉自己所有的科学知识和思想体系在一瞬间模糊不清了。,"L'espace d'un instant, toutes les connaissances scientifiques de Wang Miao lui parurent floues.", parurent floues
239,不可预知,“如果连三体这样极其简单的系统都处于不可预知的混沌，那我们还怎样对探索复杂宇宙的规律抱有信心呢？”,"— Mais alors, si même un système aussi simple que celui des trois corps n'est qu'un imprévisible chaos, comment garder foi dans la découverte un jour futur des lois qui régissent la complexité de notre univers ?",un imprévisible
240,不以为然,"掌握了核能，到了信息时代。”秘书长说，但对这一切似乎不以为然。
","Nous maîtrisons désormais l'énergie nucléaire et nous avons atteint l'âge de l'information, répondit le secrétaire général, sans pour autant faire montre de fierté.",sans pour autant faire montre de fierté.
241,前赴后继,这也是三体文明前赴后继顽强再生的动力之一。,C'était l'une des raisons qui ont jadis poussé les civilisations de Trisolaris à renaître encore et toujours.,encore et toujours
242,不寒而栗,即使只有一颗飞星静止，也让人不寒而栗。,Une seule étoile volante figée suffisait à faire frissonner chacun de peur.,à faire frissonner
243,惊心动魄,那是三体世界全部历史上最为惊心动魄的灾难。,C'est le plus terrible désastre de toute l'histoire de Trisolaris.,le plus terrible
244,藕断丝连,在一段时间内，行星被撕开的两部分藕断丝连，它们之间有一条横穿太空的岩浆的河流。,"Durant un certain temps, les deux fragments fissurés de la planète ont pu être reliés entre eux par une sorte de pont dans l'espace, formé par une rivière de lave en fusion.",ont pu être reliés entre eux
245,面目全非,在面目全非的大陆和海洋中," l'évolution a repris à un rythme effréné sur des continents et des océans nouveaux,",nouveaux
246,摇摇晃晃,仿佛大地被它拉得摇摇晃晃。,Le sol semblait comme secoué par son balancement., secoué par son balancement
247,泪水模糊,当汪淼的双眼被泪水模糊时，他看到了以巨摆为背景出现的字幕：,"Tandis que les yeux de Wang Miao se brouillaient de larmes, il vit un texte s'afficher devant le pendule :",se brouillaient de larmes
248,一无所有,寒冷黎明中的大地上空荡荡的一无所有。,La plaine baignée par les lueurs glaciales de l'aube était à présent totalement déserte.,totalement déserte
249,一望无际,这密密的人海一望无际，汪淼大致估计了一下数量。,Wang Miao essaya de calculer le nombre de cette improbable marée humaine.,cette improbable marée 
250,令人窒息,寂静笼罩着一切，这几亿人造就的寂静有一种令人窒息的诡异。,Le silence de ces centaines de millions de personnes provoquait une étrangeté suffocante.,suffocante
251,一望无际,形成了一望无际的手臂的草原。,esquissant une prairie infinie de bras levés.,une prairie infinie
252,心术不正,“你还有责任心？你这人本来就心术不正！”,— Ton devoir ? Je crois plutôt que tes intentions étaient mauvaises dès le début !,tes intentions étaient mauvaises 
253,引火烧身,欧洲分队差点引火烧身,Sans parler de la filiale européenne qui a bien failli nous faire repérer !, qui a bien failli nous faire repérer
254,引火烧身,“你杀了人，现在已经引火烧身了！”," C'est toi qui parles de nous faire repérer, mais tu as commis un meurtre !",faire repérer
255,自取灭亡,“这不是自取灭亡吗！”,C'est du suicide ,C'est du suicide 
256,野火烧不尽,我们是顽强的种子，野火烧不尽的！”,"Nous renaîtrons, comme des graines tenaces qui repoussent après un incendie de forêt !",qui repoussent après un incendie de forêt 
257,灭顶之灾,统帅，现在组织面临灭顶之灾。,"Guide, l'Organisation fait face à une crise qui pourrait la mener à l'extinction.",une crise qui pourrait la mener à l'extinction.
258,冤冤相报,"我们的家园仍在冤冤相报的泥潭中越陷越深。
",Nos territoires s'enlisent plus profondément chaque jour dans le bourbier de la haine et de la vengeance.,le bourbier de la haine et de la vengeance.
259,滔天罪行,"人类文明已经对地球犯下了滔天罪行，必须为此受到惩罚。
",La civilisation humaine a commis trop de crimes odieux sur Terre et elle doit être punie à la hauteur de ses méfaits.,trop de crimes odieux
260,不可饶恕,做出了对组织不可饶恕的背叛,Les adventistes ont profité de cet avantage pour se rendre coupables d'un acte de trahison impardonnable,impardonnable
261,不可挽救,但像伊文斯和你这样的人已不可挽救。,Mais des gens comme Evans et toi sont irrécupérables.,irrécupérables
262,袅袅婷婷,少女袅袅婷婷地向潘寒走去。,"D'un pas félin, elle s'approcha de Pan Han.",D'un pas félin
263,耿耿于怀,雷志成一直耿耿于怀,Lei Zhicheng en voulait à Yang Weining d'avoir fait confiance à Ye Wenjie,en voulait
264,动荡不定,它的辐射是动荡不定的。,le rayonnement du soleil s'avérait instable.,instable
265,山穷水尽,研究到了山穷水尽的地步,"Après avoir épuisé toutes les hypothèses,",épuisé toutes les hypothèses
266,无能为力,她在最后一份报告中承认自己无能为力。,"Dans le dernier rapport qu'elle avait rédigé, elle avouait son incompétence à résoudre le problème.",incompétence à résoudre le problème
267,前途无量,当然前途无量。,Sa maturité politique et ses insignes succès académiques lui conféraient un profil rare et le destinaient à une carrière prometteuse.,une carrière prometteuse.
268,飘忽不定,叶文洁开始仔细研究这一层层悬浮在太阳电浆海洋中的飘忽不定的薄膜。,Wenjie avait examiné de près ces fines membranes instables en suspension au-dessus de l'océan de plasma du soleil.,instables en suspension
269,难以置信,叶文洁自己都难以置信。,"Ye Wenjie elle-même avait peine à croire qu'elle soit réelle.
",avait peine à croire
270,瞠目结舌,他们一时瞠目结舌，,"Ils étaient abasourdis, ",abasourdis
271,灭顶之灾,"就可能有人面临灭顶之灾。
","aussi longtemps qu'une interprétation politique était possible, le danger existait.",le danger existait
272,平淡无奇,当时的真实情景就是这样平淡无奇。,tout avait été d'une parfaite banalité.,parfaite banalité
273,迫不及待,叶文洁迫不及待地拆开信封,"Impatiente, Wenjie la décacheta aussitôt et balaya son contenu des yeux.
",Impatiente
274,绚丽灿烂,在这灰色中，梦尤其显得绚丽灿烂，,"Un rêve était apparu dans cette grisaille, coloré et étincelant, ",coloré et étincelant
275,死灰复燃,"噩梦般的记忆越烧越旺像一处处死灰复燃的火种灼烧着她的心灵。
",Des souvenirs cauchemardesques refaisaient surface avec de plus en plus de vigueur comme un feu né d'un parterre de cendres brûlant enflammant son âme.,comme un feu né d'un parterre de cendres 
276,不寒而栗,"斑斑血迹装饰着的人类历史令她不寒而栗，而那些思想家的卓越思考，将她引向人性的最本质也是最隐秘之处。
","Elle frémissait en découvrant l'histoire sanglante de l'humanité, et les remarquables réflexions des philosophes l'aidaient à comprendre l'essence et le mystère de la nature humaine.",frémissait
277,世外桃源,"其实，就是在这近乎世外桃源的雷达峰上，人类的非理性和疯狂仍然每天都历历在目。
","Même dans un endroit comme le pic du Radar, semblable à une source aux fleurs de pêcher1, elle était chaque jour témoin de l'irrationalité et de la folie humaines.",une source aux fleurs de pêcher
278,不绝于耳,基地里那些鸟凄惨的叫声不绝于耳,"Tandis que les incendies faisaient rage, les oiseaux de la base aux plumes noircies chantaient d'incessantes complaintes de désespoir.",d'incessantes complaintes de désespoir.
279,一笑置之,但普通人对此仍然一笑置之，,"Mais la plupart des gens continuaient à vivre le sourire aux lèvres, comme si tout cela ne les atteignait pas.",vivre le sourire aux lèvres
280,与世隔绝,让她与世隔绝，,lui permettant de couper avec le monde,couper avec le monde
281,心如死灰,"
不是一个让她讨厌的人，但她自己已心如死灰，很难再燃起爱情的火焰了。
","Elle avait pour lui de l'affection, mais son cœur n'était plus qu'un tas de cendres froides sur lequel le feu de l'amour ne pouvait être ravivé.",un tas de cendres froides 
282,无家可归,"，她的心灵反而无家可归了。
", son âme devint en réalité plus solitaire que jamais.,plus solitaire que jamais
283,头晕目眩,在令她头晕目眩的激动和迷惑中，,"Saisie d'une excitation étourdissante,",une excitation étourdissante
284,浴火重生,在以后的四个多小时中，叶文洁知道了三体世界的存在，知道了那个一次次浴火重生的文明，也知道了他们星际移民的企图。,"Durant les quatre heures qui suivirent, Wenjie apprit l'existence de Trisolaris, de cette civilisation sans cesse en train de renaître et de sa tentative de migration vers les étoiles.",renaître 
285,不动声色,她不动声色地迅速操作：,"Elle agit rapidement, sans bruit et sans bouger : ",sans bruit et sans bouger
286,毫不犹豫,毫不犹豫地，叶文洁按下了发射键。,"Sans la moindre hésitation, Ye Wenjie pressa le bouton.",Sans la moindre hésitation
287,头晕目眩,初升的太阳使叶文洁头晕目眩。,Le soleil qui venait de se lever éblouit les yeux de Ye Wenjie.,éblouit les yeux
288,大大咧咧,他大大咧咧地四下看看，,"Il inspecta nonchalamment la pièce puis, ",inspecta nonchalamment
289,不动声色,叶文洁不动声色。,"Ye Wenjie, elle, demeurait de marbre.",demeurait de marbre
290,神态自若,神态自若地拍拍手。,puis il applaudit pour détendre l'atmosphère.,détendre l'atmosphère
291,血肉模糊,核弹女孩炸得血肉模糊,"Le corps de la jeune fille avait été déchiqueté par la bombe,",déchiqueté 
292,恻隐之心,“叶文洁，对于你，我是不会有任何恻隐之心的。," Ye Wenjie, je ne t'ai jamais portée dans mon cœur.",portée dans mon cœur
293,名垂青史,这确实是一个名垂青史的绝好机会。,C'était pour lui une occasion unique de voir son nom écrit dans les manuels d'histoire.,son nom écrit dans les manuels d'histoire.
294,年过半百,这人已年过半百，满脸风霜。,L'homme avait déjà plus de la cinquantaine et son visage était marqué par les tragédies de l'histoire.,plus de la cinquantaine
295,满脸风霜,这人已年过半百，满脸风霜。,L'homme avait déjà plus de la cinquantaine et son visage était marqué par les tragédies de l'histoire.,marqué par les tragédies de l'histoire
296,手忙脚乱,"在叶文洁面前手忙脚乱，书什么的倒了一地。
","Devant Wenjie, il ne savait plus où donner de la tête, et avait recouvert le sol de livres.",ne savait plus où donner de la tête
297,正儿八经,“娃娃们，科学家，这可是正儿八经的科学家啊！”,"— Les enfants, vous venez de voir une scientifique. Une vraie scientifique !",Une vraie 
298,隔三差五,以后隔三差五地就有孩子来请教。,"Désormais, des élèves venaient la trouver presque tous les jours.",presque tous les jours
299,无亲无故,她无亲无故。,Elle n'avait ni famille ni amis.,ni famille ni amis
300,头晕脑涨,"她只抽了两口，就被冲得头晕脑涨，让她们笑了好几天。
","Après seulement deux bouffées, Wenjie se sentit prise de vertige, ce qui fit bien rire tout le monde durant plusieurs jours.",prise de vertige
301,打情骂俏,如何同屯里的寡妇打情骂俏时,"faire des avances aux veuves du village, ",faire des avances 
302,隔三差五,隔三差五，,"Tous les deux ou trois jours,","Tous les deux ou trois jours,"
303,相视而笑,这时她俩就抬头相视而笑。,Toutes deux levaient la tête et échangeaient un sourire.,échangeaient un sourire
304,泪流满面,她几次醒后都泪流满面。,Cette sensation était si réaliste qu'elle se réveillait souvent en larmes.,en larmes
305,脚踏实地,他们的奋斗虽是天真的，但也是脚踏实地的。,"Et quoique leur enthousiasme soit naïf, ils gardaient les pieds sur terre.",gardaient les pieds sur terre
306,深思熟虑,，深思熟虑。,"Cet acte pouvait paraître déconcertant, venant d'une femme qui pesait, au détail près, chacune de ses décisions.","au détail près, chacune de ses décisions"
307,冷若冰霜,这时，副部长的脸色一瞬间由温暖的微笑变得冷若冰霜，像不耐烦地扯下一副面具，他说：,"Aussitôt, le sourire chaleureux du vice-ministre se fit de glace, comme s'il avait enfin l'occasion d'ôter son masque :", se fit de glace
308,英姿飒爽,"但除此以外，这三个，三十左右的女人，与当年那三名英姿飒爽的红卫兵已没有任何相似之处了。
","En dehors de ces uniformes, les trois femmes, qui avaient maintenant la trentaine, n'avaient plus rien de commun avec les trois jeunes et vaillantes gardes rouges de l'époque.",jeunes et vaillantes
309,头发蓬乱,她头发蓬乱，,Elle avait une grosse tignasse sur la tête, avait une grosse tignasse sur la tête
310,荡然无存,但她们当年那魔鬼般的精神力量显然已荡然无存。,"l'ardeur diabolique qui avait été la leur cette année-là n'existait plus.
",n'existait plus
311,广阔天地,"“后来我们走向广阔天地了！”粗壮女人扬起双手说。
",On nous a ensuite envoyées en pleine campagne ! dit la femme robuste en levant les mains.,en pleine campagne
312,穷乡僻壤里,我们待在穷乡僻壤里，真是叫天天不语，叫地地不应啊。”,Nous étions coincées dans des villages oubliés et personne ne pouvait répondre à nos suppliques.,des villages oubliés
313,叫天天不语，叫地地不应,我们待在穷乡僻壤里，真是叫天天不语，叫地地不应啊。”,Nous étions coincées dans des villages oubliés et personne ne pouvait répondre à nos suppliques.,personne ne pouvait répondre à nos suppliques
314,衣衫破烂,，一样的衣衫破烂,"les mêmes uniformes en lambeaux,",uniformes en lambeaux
315,相视无语,相视无语啊。”,Nous ne savions pas quoi nous dire.,Nous ne savions pas quoi nous dire.
316,一无所有,"还是一无所有，回来的知青日子都不好过。
","Nous n'avons rien, les conditions de vie des jeunes instruits de retour de la campagne ne sont pas faciles.",Nous n'avons rien
317,彻底无语,叶文洁彻底无语了。,Ye Wenjie était interloquée.,interloquée
318,阴雨霏霏,十多年前那个阴雨霏霏的下午,"Plus de dix ans auparavant, lors d'un après-midi pluvieux,",pluvieux
319,无影无踪,"对自己已经做出的超级背叛的那一丝怀疑也消失得无影无踪。
",Le doute qui s'était emparé d'elle après son acte de trahison avait disparu sans laisser de trace.,sans laisser de trace
320,坚定不移,"将宇宙间更高等的文明引入人类世界：终于成为叶文洁坚定不移的理想。

","Désormais, son nouvel idéal serait inébranlable : permettre à une civilisation supérieure de s'infiltrer dans le monde des humains.",inébranlable 
321,水土流失,水土流失产生的裂谷使山地远远看去像老人布满皱纹的面孔。,Les vallées nées de l'érosion des sols donnaient aux collines l'apparence de vieux visages couverts de rides.,Les vallées nées de l'érosion des sols 
322,金发碧眼,除了他的金发碧眼，和身上穿的那套已经破旧不堪的牛仔服，看上去与当地劳作一生的农民已经没什么两样。,"En dehors de ses cheveux blonds et de ses yeux verts, de son pantalon et de sa veste en jean abîmés, il n'avait pas l'air si différent d'un paysan du coin ayant passé sa vie à travailler la terre.",ses cheveux blonds et de ses yeux vert
323,破旧不堪,除了他的金发碧眼，和身上穿的那套已经破旧不堪的牛仔服，看上去与当地劳作一生的农民已经没什么两样。,"En dehors de ses cheveux blonds et de ses yeux verts, de son pantalon et de sa veste en jean abîmés, il n'avait pas l'air si différent d'un paysan du coin ayant passé sa vie à travailler la terre.",abîmés
324,话匣子,伊文斯的话匣子打开了，滔滔不绝地说下去：,"
La boîte à paroles d'Evans avait été ouverte et il semblait ne plus pouvoir s'arrêter :
",La boîte à paroles 
325,滔滔不绝,伊文斯的话匣子打开了，滔滔不绝地说下去：,"
La boîte à paroles d'Evans avait été ouverte et il semblait ne plus pouvoir s'arrêter :
",ne plus pouvoir s'arrêter
326,微不足道,所以，孩子，你看到的这些算不了什么。这不过是一个大过程中微不足道的小插曲而已，我们可以没有海鸟，但不能没有石油。,"Fiston, ce que tu as vu aujourd'hui n'est rien, ce n'est qu'un épisode minime dans une gigantesque tragédie, nous pouvons nous passer d'oiseaux de mer, mais nous ne pouvons pas nous passer du pétrole.", minime 
327,自言自语,”叶文洁似乎是自言自语地说。,"Ye Wenjie, comme si elle se parlait à elle-même.",se parlait à elle-même
328,似曾相识,但这似曾相识的一幕还是让叶文洁。,"cette scène parut tristement familière à Ye Wenjie.
",cette scène parut tristement familière 
329,心头一紧,心头一紧,"Son cœur se glaça.
",Son cœur se glaça
330,一心一意,他正拿着一把斧子一心一意地修剪树枝。,il mettait tout son cœur à élaguer des branches avec sa hache., tout son cœur
331,轻而易举,我现在要想制止他们，轻而易举,Les arrêter maintenant serait un jeu d'enfant., un jeu d'enfant
332,轻而易举,"我可以轻而易举地让他们停止砍树，然后让他们种树，让我们目力所及的黄土山都被这样的速生林覆盖，很容易。
","Je pourrais facilement les empêcher de couper les arbres de cette forêt, et les leur faire replanter jusqu'à ce que ces collines de lœss soient recouvertes à perte de vue de forêts luxuriantes.",facilement
333,目力所及,"我可以轻而易举地让他们停止砍树，然后让他们种树，让我们目力所及的黄土山都被这样的速生林覆盖，很容易。
","Je pourrais facilement les empêcher de couper les arbres de cette forêt, et les leur faire replanter jusqu'à ce que ces collines de lœss soient recouvertes à perte de vue de forêts luxuriantes.",à perte de vue
334,普度众生,而佛教是普度众生的。,"Au contraire, le bouddhisme a pour idée de délivrer toutes les créatures vivantes.",délivrer toutes les créatures vivantes.
335,销声匿迹,伊文斯销声匿迹，没有任何消息。,"Evans avait semblé disparaître, Ye Wenjie était sans nouvelles de lui.",disparaître
336,细若游丝,任何联系都细若游丝。,Tout contact entre les deux était aussi subtil qu'un cheveu d'ange., subtil qu'un cheveu d'ange
337,似曾相识,叶文洁感到一切都似曾相识。,Elle avait l'impression d'avoir déjà vécu cette scène.,avoir déjà vécu cette scène
338,尽力而为,“我尽力而为,Je ferai de mon mieux.,ferai de mon mieux
339,彻底绝望,地球三体运动最令人震惊之处是竟然有这么多的人对人类文明彻底绝望，憎恨和背叛自己的物种。,"L'aspect le plus étonnant du mouvement Terre-Trisolaris était que tant de gens aient perdu tout espoir dans la civilisation humaine et que, le cœur plein de haine, ils soient prêts à trahir leur propre espèce.",perdu tout espoir
340,不可想象,在他们看来是不可想象的。,Trahir la race humaine dans son ensemble leur était inconcevable.,inconcevable
341,不谙世事,有一个不太恰当的比喻：人类文明一直是一个孤独行走于宇宙荒漠中的不谙世事的少年，现在她（他）知道了另一个异性的存在。,Pour prendre une métaphore quelque peu inappropriée : l'humanité était un être ignorant marchant seul dans le désert de l'univers et qui venait tout juste de découvrir une personne d'un autre sexe., être ignorant
342,震撼人心,年轻的玩家们没有能力和耐心去透过它那看似平常的表层，发现其震撼人心的内幕。,Les jeunes joueurs n'avaient ni les compétences ni la patience nécessaires pour découvrir la vérité troublante se dissimulant derrière le voile en apparence simpliste de ce monde virtuel.,troublante
343,不可忽视,将会成为一支不可忽视的力量。,ils constitueraient peu à peu une faction incontournable.,une faction incontournable
344,燎原之势,已成燎原之势。,"le feu avait déjà pris sur la plaine.
",le feu avait déjà pris sur la plaine
345,苟且偷生,"幸存派的理想是以出卖同胞来苟且偷生。
", et l'objectif des survivalistes est de trahir l'humanité en échange du salut de leurs descendants.,en échange du salut de leurs descendants.
346,不可思议,最近有些事情确实太不可思议了……, Il s'est passé tellement de choses incroyables ces derniers temps…,incroyables
347,不可思议,真是个不可思议的射手。”,"
Les talents du sniper qui a réussi ce coup doivent être inouïs.
",inouïs
348,出风头,我保准咱哥俩这次准能出风头的。,Quelque chose me dit qu'aujourd'hui nous allons voler la vedette.,voler la vedette.
349,心旷神怡,"点头，心旷神怡地把烟徐徐吐到对面与会者的面前。
","hocha la tête d'un air satisfait puis, visiblement détendu, il cracha la fumée vers les visages des participants situés à l'autre bout de la table.","un air satisfait puis, visiblement détendu"
350,广为人知,这种武器已广为人知。,Cette arme est désormais connue de tous.,connue de tous
351,一动不动,"空气凝固了，所有人像石化般一动不动；连周围电脑的嗡嗡声似乎都变得小心翼翼。
","L'air semblait s'être figé dans la salle, comme si tous les participants s'étaient transformés en pierre ; même le bourdonnement des ordinateurs autour paraissait s'être tu.",transformés en pierre
352,小心翼翼,空气凝固了，所有人像石化般一动不动；连周围电脑的嗡嗡声似乎都变得小心翼翼。,"L'air semblait s'être figé dans la salle, comme si tous les participants s'étaient transformés en pierre ; même le bourdonnement des ordinateurs autour paraissait s'être tu.",s'être tu
353,异国他乡,汪淼没有一点儿身处异国他乡的感觉。,Wang Miao n'avait pas la sensation de se trouver en pays étranger.,en pays étranger.
354,懒洋洋,甚至看上去有些懒洋洋的，像是在从事一件平淡乏味的工作。,"Certains avaient même l'air de se comporter en dilettantes, comme s'ils n'effectuaient là qu'un insipide travail de routine.",en dilettantes
355,平淡乏味,甚至看上去有些懒洋洋的，像是在从事一件平淡乏味的工作。,"Certains avaient même l'air de se comporter en dilettantes, comme s'ils n'effectuaient là qu'un insipide travail de routine.",un insipide travail de routine.
356,微不足道,这些事情是多么的微不足道。,toutes ces choses-là paraissent bien insignifiantes., insignifiantes
357,微不足道,“是啊，微不足道。”汪淼附和道。,"Oui, insignifiantes, reprit Wang Miao en écho.",insignifiantes
358,金光粼粼,运河中金光粼粼，,Le soleil qui s'était levé sur le Pacifique s'apprêtait à se coucher sur l'Atlantique et les eaux du canal miroitaient d'or.,miroitaient d'or
359,黑乎乎,两根钢柱黑乎乎的，反射不出一点儿阳光。,Les deux piliers d'acier étaient sombres et ne reflétaient aucun rayon du soleil.,sombres
360,滔滔不绝,仍在滔滔不绝地说着：,Il continuait à parler pour lui-même :,continuait à parler 
361,心不在焉,“哦，不能……”汪淼心不在焉地敷衍着。,"Oh, non, je ne peux pas… , répondit superficiellement Wang Miao, l'esprit ailleurs.",superficiellement 
362,转瞬即逝,但这种感觉转瞬即逝。,Mais ce sentiment s'évanouit aussitôt.,s’évanouit aussitôt
363,无法想象,"让人无法想象它曾是一艘巨轮。
","et il était devenu impossible d'imaginer qu'elles avaient un jour été les morceaux d'un bateau.
",impossible d'imaginer
364,全神贯注,它们全神贯注地聆听着宇宙间可能存在的智慧文明的信息。,"tous entièrement dédiés à l'écoute de possibles signes d'une civilisation intelligente ailleurs dans l'univers.
",tous entièrement dédiés à l'écoute de possibles
365,高低错落,"一个个高低错落的波峰就像一粒粒大小不等的沙子。
",comme un désert unidimensionnel tapissé de grains de sable de différentes tailles.,différentes tailles
366,头晕目眩,在令他头晕目眩的激动中，,"Saisi d'une excitation étourdissante, ", excitation étourdissante
